ds,yhat
2014-01-31,19022.812271860614
2014-02-28,9849.943395757524
2014-03-31,45933.50395200583
2014-04-30,29562.053996676896
2014-05-31,29318.156373545266
2014-06-30,29979.870467564997
2014-07-31,29776.533098000906
2014-08-31,29304.225390520864
2014-09-30,69625.70538400103
2014-10-31,34110.161743960314
2014-11-30,74067.4875601829
2014-12-31,73926.69344727135
2015-01-31,18396.464234630446
2015-02-28,12647.938907332424
2015-03-31,48862.449658084966
2015-04-30,33846.18052571933
2015-05-31,25194.618998317805
2015-06-30,29120.592354248358
2015-07-31,30701.0171274591
2015-08-31,35111.22927655475
2015-09-30,72451.49770535584
2015-10-31,30555.776655847454
2015-11-30,81335.73363925976
2015-12-31,75579.5369534798
2016-01-31,21892.88460485011
2016-02-29,13911.908891364477
2016-03-31,50526.09223759993
2016-04-30,32079.450383893098
2016-05-31,49574.23923315449
2016-06-30,44667.9606171297
2016-07-31,41504.124912379324
2016-08-31,31497.263724854936
2016-09-30,77686.78052640425
2016-10-31,57840.630449428405
2016-11-30,78581.95804162727
2016-12-31,91924.53835758803
2017-01-31,35563.192576673595
2017-02-28,23382.5230587214
2017-03-31,59714.992723768395
2017-04-30,42313.57123087603
2017-05-31,50967.55529567875
2017-06-30,48978.059076085505
2017-07-31,47497.37441646839
2017-08-31,42524.2880881069
2017-09-30,86094.62240151125
2017-10-31,58571.40129375994
2017-11-30,89132.77453392693
2017-12-31,96000.16641918849
